INF | 2025-10-05 13:05:48.142 [libtrx/game/shell/main.c:20:SDL_main] Starting TR2X 1.3.2
INF | 2025-10-05 13:05:48.142 [game/shell/common.c:179:Shell_Main] Game directory: C:\Users\Checkm8ra1n\Documents\Levels\Tomb-Raider-Levels-Open-Source\Complete Levels\TR2\Engine\
ERR | 2025-10-05 13:05:48.152 [libtrx/filesystem.c:477:File_Load] Can't open file cfg/TR2X_console_history.json5
WRN | 2025-10-05 13:05:48.152 [libtrx/config/file.c:200:ConfigFile_Read] 'cfg/TR2X_console_history.json5' not loaded - default settings will apply
INF | 2025-10-05 13:05:48.349 [libtrx/game/input/backends/controller.c:345:M_FindController] 0 controllers
INF | 2025-10-05 13:05:48.395 [libtrx/game/music/common.c:132:Music_Init] Chosen music backend: Directory (directory: music)
DBG | 2025-10-05 13:05:48.395 [libtrx/game/random.c:21:Random_SeedControl] 46392
DBG | 2025-10-05 13:05:48.395 [libtrx/game/random.c:33:Random_SeedDraw] 45464
ERR | 2025-10-05 13:05:48.398 [libtrx/filesystem.c:477:File_Load] Can't open file cfg/TR2X.json5
WRN | 2025-10-05 13:05:48.398 [libtrx/config/file.c:200:ConfigFile_Read] 'cfg/TR2X.json5' not loaded - default settings will apply
DBG | 2025-10-05 13:05:48.398 [game/shell/common.c:82:M_CreateGameWindow] -1,-1 -> 1280x720
DBG | 2025-10-05 13:05:48.867 [game/render/common.c:110:Render_Init] Trying GL backend 3.3
INF | 2025-10-05 13:05:48.867 [libtrx/gfx/context.c:86:GFX_Context_Attach] Attaching to window 03d48e30
INF | 2025-10-05 13:05:48.876 [libtrx/gfx/context.c:110:GFX_Context_Attach] OpenGL vendor string:   NVIDIA Corporation
INF | 2025-10-05 13:05:48.876 [libtrx/gfx/context.c:111:GFX_Context_Attach] OpenGL renderer string: GeForce GTX 775M/PCIe/SSE2
INF | 2025-10-05 13:05:48.876 [libtrx/gfx/context.c:112:GFX_Context_Attach] OpenGL version string:  3.3.0 NVIDIA 353.24
INF | 2025-10-05 13:05:48.876 [libtrx/gfx/context.c:116:GFX_Context_Attach] Shading version string: 3.30 NVIDIA via Cg compiler
INF | 2025-10-05 13:05:48.958 [libtrx/gfx/2d/2d_renderer.c:107:GFX_2D_Renderer_Create] 
DBG | 2025-10-05 13:05:48.970 [libtrx/game/shell/config.c:33:Shell_SyncToWindow] is_fullscreen=0 is_maximized=0 x=-1 y=-1 width=1280 height=720
DBG | 2025-10-05 13:05:49.005 [game/render/common.c:185:Render_SetupDisplay] 1280x720
DBG | 2025-10-05 13:05:49.005 [game/render/common.c:151:Render_Reset] reset_flags=1
INF | 2025-10-05 13:05:49.005 [libtrx/gfx/2d/2d_renderer.c:107:GFX_2D_Renderer_Create] 
INF | 2025-10-05 13:05:49.007 [libtrx/gfx/3d/3d_renderer.c:116:GFX_3D_Renderer_Create] 
DBG | 2025-10-05 13:05:49.037 [game/render/common.c:178:Render_Reset] reset finished
DBG | 2025-10-05 13:05:49.037 [game/render/common.c:185:Render_SetupDisplay] 1280x720
DBG | 2025-10-05 13:05:49.037 [game/render/common.c:151:Render_Reset] reset_flags=1
DBG | 2025-10-05 13:05:49.053 [game/render/common.c:178:Render_Reset] reset finished
DBG | 2025-10-05 13:05:49.053 [game/render/common.c:151:Render_Reset] reset_flags=8
DBG | 2025-10-05 13:05:49.070 [game/render/common.c:178:Render_Reset] reset finished
DBG | 2025-10-05 13:05:49.078 [libtrx/game/game_string_table/common.c:74:M_ApplyLayer] applying layer: C:\Users\Checkm8ra1n\Documents\Levels\Tomb-Raider-Levels-Open-Source\Complete Levels\TR2\Engine\cfg/TRX_common_strings.json5
DBG | 2025-10-05 13:05:49.078 [libtrx/game/game_string_table/common.c:74:M_ApplyLayer] applying layer: C:\Users\Checkm8ra1n\Documents\Levels\Tomb-Raider-Levels-Open-Source\Complete Levels\TR2\Engine\cfg/TR2X_strings.json5
DBG | 2025-10-05 13:05:49.079 [libtrx/game/game_string_table/common.c:74:M_ApplyLayer] applying layer: C:\Users\Checkm8ra1n\Documents\Levels\Tomb-Raider-Levels-Open-Source\Complete Levels\TR2\Engine\cfg/TR2X_strings.json5
